,urlDrugName,rating,effectiveness,sideEffects,benefitsReview
357,percocet,6,Considerably Effective,Mild Side Effects,"The benefits helped ""curb"" the pain."
358,oxazepam,10,Highly Effective,Mild Side Effects,"I would get heart palpitations and major stress hours before my ex would come and pick up our daughter for visits; I also had difficulty sleeping if I had to deal with any issues with him; I would take one of these pills, only if I felt I needed and sometimes an hour before he would pick her up, and I would feel much calmer.  It was a life saver for  me until I got through the emotional upset and was able to detach."
359,prinivil,1,Moderately Effective,Extremely Severe Side Effects,"My mother had slight high blood pressure and was prescribed Lisinopril along with the water pill. The medication was doing its job, lowering BP to normal."
360,atenolol,10,Highly Effective,Mild Side Effects,"the overall experience was positive, with little to no side effects, blood pressure medicine dropping blood pressure from 180/100 to 117/70 in 3 months.  lower blood pressure prevents heart disease and risk of stroke or other ailments associated with hypertension."
361,premarin,9,Highly Effective,No Side Effects,There was a decrease in dryness and discomfort.  I thought there also was a benefit to my mood and outlook.  Additionally my skin was more supple and had better color.  There was no pain associated as before.
362,norpramin,6,Moderately Effective,Mild Side Effects,no a.m. headaches
363,cymbalta,7,Considerably Effective,Mild Side Effects,Taking the medicine was only once a day at the time I chose to take it. It helped me most during stressed situations of any size. I could handle anything and not get angry.
364,protonix,7,Considerably Effective,Mild Side Effects,Significant reduction in the amount of pain that patient had on a daily basis.  Pain was not only lessened by time it was felt was lessened as well
365,topicort,6,Considerably Effective,No Side Effects,"After applying the medicament, the itching sensation reduced after 20 minutes and irritation slowly dissapeared after 10 days, The irritation  occasionally re-occurred. I have applied the medicament occasionally (about twice a month) when the irritation re-occured for about oone years. Now the irritation never reappears"
366,effexor-xr,10,Highly Effective,Mild Side Effects,"decrease in moodiness, irritability, cessation of depression/dysthymia related symptoms."
367,lumigan,9,Considerably Effective,Mild Side Effects,moderate eyelashn growth  but no change in eyelash color
368,ambien,7,Moderately Effective,Mild Side Effects,"Made me sleepy enough to shut down and go to bed, although it typically still took  me hours to get to sleep. The sleep that I got from this medication was deep and refreshing."
369,allegra,8,Considerably Effective,Mild Side Effects,"I have a recurring sinus problem wherein my nasal passages get blocked and throat and vocals are affected.
This is aggravated by my smoking as well."
370,fluconazole,9,Considerably Effective,No Side Effects,"After about five days the yeast infection symptoms (itchiness, pain) disappeared."
371,metformin,8,Highly Effective,Mild Side Effects,after one year of taking this drug pregnancy was acheived via IVF and successfully carried to term with help of blood thinner heparin
372,zithromax,10,Highly Effective,Mild Side Effects,It cleared up my coughing within 2 days.  I could sleep far better at night.
373,grifulvin-v,10,Highly Effective,No Side Effects,The benefits of the treatment were clearing a fungal infection that plaqued me for a few months.
374,lumigan,8,Highly Effective,Mild Side Effects,The Lumigan made my lashes grown longer and thicker. I didn't need to use as much mascara.
375,imitrex,10,Highly Effective,No Side Effects,"Once a day, sometimes 2 in a 24 hour period depending on the severe headache"
376,vicodin,7,Considerably Effective,Severe Side Effects,"I took the drug shortly after having my tooth pulled.  I never noticed a great amount of pain, and contribute this to the laughing gas and novicane during the proceduce, and taking the vicadin shortly after the procedure. I took the vicadin drug twice because after several hours I started to feel pain again.  It was effective in reliefing my pain."
377,proscar,1,Moderately Effective,Severe Side Effects,"I noticed hair regrowth in small amounts but did not know my genitals were shrinking.  A friend told me of his testicles shrinking on the drug and so I examined myself and realized that what once was, was no more."
378,tri-luma,8,Considerably Effective,Mild Side Effects,lightning of dark pigments
379,triphasil,10,Highly Effective,No Side Effects,"General Medical:  The treatment is for contraception.  I used it for weight control, skin problems and as a contraception, it was very effective for all of it except that when i left the medication I experienced severe hair loss which i was not warned about"
380,cipro,1,Ineffective,Extremely Severe Side Effects,none...I am reguired to write fifty words bon the treatment benefits but since I had to discontinue the drug or die there were no benefits and I would be telling a bald faced lie if I said there were and but I will keep on typing so that I comply with the request for the fifty word minimun
381,celexa,8,Considerably Effective,Mild Side Effects,"when the drug actually kicked in, after about 10 days as i recall, it was an amazing experience.I got out of bed and was walking to the bathroom to shower. I was whistling!!!I stopped and thought, hey whats going on here. I realized I felt great, like a heavy weight had been lifted from my shoulders. I felt better than i had felt for a hell of a long time. Never forget it, a fantastic feeling.Truly helped me to cope with the stress of business and relationships.I have recommended it two occasions both had a similar experience to my own."
