term,idx,tf,df
lowering intraocular,24663,1,1
intraocular pressure,21817,1,1
pressure keep,32043,1,1
funktion,17159,1,1
prostata,32782,1,1
symptom mal,40637,1,1
mal feeling,25012,1,1
prostate disapeared,32785,1,1
disapeared completely,10927,1,1
completely perhaps,7604,1,1
perhaps problem,30758,1,1
problem disapeared,32396,1,1
disapeared sexual,10928,1,1
sexual funktion,36783,1,1
funktion feeling,17160,1,1
prostate improve,32786,1,1
improve remarkable,20732,1,1
improvement perhaps,20801,1,1
perhaps personal,30756,1,1
personal problem,30932,1,1
problem solve,32460,1,1
solve ibuprofen,38255,1,1
ibuprofen problem,20363,1,1
problem put,32447,1,1
put lot,33088,1,1
lot stress,24506,1,1
stress prostata,39688,1,1
prostata men,32783,1,1
depression cry,10240,1,1
time dark,42402,1,1
dark thought,9377,1,1
thought lessen,42140,1,1
lessen although,23182,1,1
although hard,2179,1,1
hard know,18821,1,1
know much,22486,1,1
give tell,17736,1,1
tell whether,41458,1,1
whether would,45827,1,1
come anyway,7336,1,1
anyway past,2849,1,1
seem effectively,36287,1,1
back although,3873,1,1
although seem,2206,1,1
seem cyclical,36272,1,1
healthy few,19094,1,1
few break,15864,1,1
out smoother,29573,1,1
smoother notice,38112,1,1
notice pore,28665,1,1
depression aggitation,10208,1,1
aggitation anger,1360,1,1
anger medication,2400,1,1
seem edge,36284,1,1
edge anger,12655,1,1
anger well,2405,1,1
well decrease,45561,1,1
decrease depressive,9830,1,1
start 10mg,38923,1,1
10mg shortly,26,1,1
shortly increase,36913,1,1
20mg leave,76,1,1
increase due,20983,1,1
due increase,12273,1,1
increase depressive,20978,1,1
strangle,39624,1,1
biaxin,4969,1,1
addition quickly,1097,1,1
quickly resolve,33205,1,1
resolve bronchitis,35126,1,1
bronchitis asthma,5673,1,1
asthma improve,3434,1,1
well breathe,45543,1,1
breathe month,5606,1,1
month prior,26774,1,1
prior bronchitis,32299,1,1
bronchitis horrible,5677,1,1
horrible cough,19850,1,1
cough spasm,8536,1,1
spasm cause,38554,1,1
cause vomit,6267,1,1
vomit phlegm,44864,1,1
phlegm almost,30975,1,1
almost strangle,1791,1,1
strangle several,39625,1,1
time cough,42398,1,1
irritation diappeared,21939,1,1
diappeared within,10618,1,1
dose biaxin,11516,1,1
symptomsa,40724,1,1
standard treatment,38907,1,1
hypothyroid work,20318,1,1
work raise,46373,1,1
raise baseline,33341,1,1
baseline t3,4199,1,1
t3 t4,40833,1,1
t4 level,40835,1,1
level continue,23283,1,1
experience low,14659,1,1
thyroid symptomsa,42303,1,1
symptomsa coldness,40725,1,1
coldness lethargic,7204,1,1
lethargic depression,23256,1,1
depression etc,10256,1,1
take cytomel,40972,1,1
cytomel x,9234,1,1
x daily,46844,1,1
basis close,4220,1,1
close normal,7099,1,1
functioning thyroid,17152,1,1
thyroid activity,42286,1,1
accutane clear,572,1,1
skin immediately,37490,1,1
noticeable change,28697,1,1
change week,6462,1,1
week acne,45256,1,1
acne slowly,796,1,1
slowly disappear,37934,1,1
disappear come,10939,1,1
curb pain,9037,1,1
ex,14369,1,1
palpitation major,30189,1,1
major stress,24849,1,1
stress hour,39675,1,1
hour ex,19934,1,1
ex would,14370,1,1
come pick,7380,1,1
pick daughter,31056,1,1
daughter visit,9423,1,1
difficulty sleep,10827,1,1
sleep deal,37634,1,1
deal issue,9732,1,1
issue would,21997,1,1
pill felt,31113,1,1
felt need,15782,1,1
need sometimes,27761,1,1
would pick,46680,1,1
pick would,31062,1,1
calmer life,5888,1,1
saver get,35888,1,1
get emotional,17473,1,1
emotional upset,13409,1,1
upset able,44097,1,1
able detach,331,1,1
mother slight,27042,1,1
slight high,37836,1,1
pressure prescribe,32065,1,1
prescribe lisinopril,31874,1,1
lisinopril along,23949,1,1
along water,1851,1,1
water pill,45148,1,1
medication job,25547,1,1
job lower,22129,1,1
lower bp,24625,1,1
ailment,1466,1,1
positive little,31505,1,1
medicine drop,25695,1,1
drop blood,11818,1,1
pressure month,32055,1,1
month low,26746,1,1
prevent heart,32163,1,1
disease risk,11102,1,1
risk stroke,35626,1,1
stroke ailment,39737,1,1
ailment associate,1467,1,1
associate hypertension,3392,1,1
decrease dryness,9840,1,1
dryness discomfort,12205,1,1
discomfort think,11032,1,1
benefit mood,4774,1,1
outlook additionally,29624,1,1
additionally skin,1119,1,1
skin supple,37567,1,1
supple good,40194,1,1
good color,18054,1,1
color pain,7255,1,1
pain patient,30025,1,1
patient daily,30471,1,1
basis pain,4229,1,1
felt lessen,15765,1,1
lessen well,23215,1,1
oone,29323,1,1
reappears,33755,1,1
medicament itching,25447,1,1
itching sensation,22039,1,1
sensation reduce,36449,1,1
reduce minute,34121,1,1
minute irritation,26431,1,1
irritation slowly,21959,1,1
slowly dissapeared,37935,1,1
dissapeared day,11167,1,1
day irritation,9550,1,1
irritation occasionally,21952,1,1
occasionally occur,28926,1,1
occur apply,28945,1,1
medicament occasionally,25448,1,1
occasionally twice,28931,1,1
month irritation,26734,1,1
irritation occur,21953,1,1
occur oone,28964,1,1
oone year,29324,1,1
year irritation,46998,1,1
irritation never,21951,1,1
never reappears,27942,1,1
decrease moodiness,9879,1,1
moodiness irritability,26941,1,1
irritability cessation,21888,1,1
cessation depression,6370,1,1
depression dysthymia,10248,1,1
dysthymia relate,12366,1,1
eyelashn,14968,1,1
moderate eyelashn,26589,1,1
eyelashn growth,14969,1,1
growth change,18457,1,1
change eyelash,6423,1,1
eyelash color,14960,1,1
sleepy enough,37804,1,1
enough shut,13712,1,1
shut go,36993,1,1
bed although,4403,1,1
although typically,2220,1,1
typically still,43754,1,1
get medication,17526,1,1
medication deep,25494,1,1
deep refreshing,9954,1,1
wherein,45817,1,1
recur sinus,33932,1,1
problem wherein,32473,1,1
wherein nasal,45818,1,1
passages get,30380,1,1
get block,17437,1,1
block throat,5192,1,1
vocal affect,44838,1,1
affect aggravate,1239,1,1
aggravate smoking,1368,1,1
day yeast,9709,1,1
symptom itchiness,40633,1,1
itchiness pain,22021,1,1
pain disappear,29901,1,1
acheived,621,1,1
ivf,22077,1,1
heparin,19493,1,1
drug pregnancy,12054,1,1
pregnancy acheived,31728,1,1
acheived via,622,1,1
via ivf,44702,1,1
ivf successfully,22078,1,1
successfully carry,39970,1,1
term help,41580,1,1
thinner heparin,42031,1,1
clear coughing,6893,1,1
coughing within,8550,1,1
sleep far,37665,1,1
plaqued,31279,1,1
clear fungal,6905,1,1
infection plaqued,21245,1,1
plaqued month,31280,1,1
lumigan make,24691,1,1
make lash,24938,1,1
thicker need,41816,1,1
much mascara,27255,1,1
sometimes period,38346,1,1
period depend,30781,1,1
depend severe,10116,1,1
laughing,22768,1,1
novicane,28724,1,1
proceduce,32484,1,1
reliefing,34759,1,1
drug shortly,12083,1,1
shortly tooth,36918,1,1
pull never,32993,1,1
never notice,27935,1,1
great amount,18298,1,1
pain contribute,29888,1,1
contribute laughing,8226,1,1
laughing gas,22769,1,1
gas novicane,17262,1,1
novicane proceduce,28725,1,1
proceduce take,32485,1,1
vicadin shortly,44720,1,1
shortly procedure,36915,1,1
procedure take,32493,1,1
vicadin drug,44719,1,1
drug twice,12128,1,1
twice several,43638,1,1
pain effective,29911,1,1
effective reliefing,13037,1,1
reliefing pain,34760,1,1
testicle,41663,1,1
regrowth small,34471,1,1
amount know,2343,1,1
know genitals,22465,1,1
genitals shrink,17388,1,1
shrink friend,36983,1,1
friend tell,16990,1,1
tell testicle,41452,1,1
testicle shrink,41664,1,1
shrink drug,36982,1,1
drug examine,11950,1,1
examine realize,14395,1,1
lightning,23666,1,1
lightning dark,23667,1,1
dark pigment,9373,1,1
medical treatment,25445,1,1
treatment contraception,43159,1,1
contraception use,8207,1,1
weight control,45464,1,1
control skin,8340,1,1
skin problem,37534,1,1
problem contraception,32389,1,1
contraception effective,8205,1,1
effective except,12982,1,1
except leave,14418,1,1
leave medication,22916,1,1
medication experience,25514,1,1
severe hair,36676,1,1
loss warn,24468,1,1
reguired,34472,1,1
bon,5334,1,1
comply,7657,1,1
minimun,26390,1,1
none reguired,28310,1,1
reguired write,34473,1,1
write fifty,46822,1,1
word bon,46200,1,1
bon treatment,5335,1,1
since discontinue,37187,1,1
discontinue drug,11048,1,1
drug die,11926,1,1
die benefit,10674,1,1
would tell,46723,1,1
tell bald,41416,1,1
bald face,4144,1,1
face lie,15018,1,1
lie say,23447,1,1
say keep,35950,1,1
keep type,22306,1,1
type comply,43726,1,1
comply request,7658,1,1
request fifty,35055,1,1
word minimun,46203,1,1
whistle,45839,1,1
whats,45773,1,1
actually kick,956,1,1
kick day,22347,1,1
day recall,9627,1,1
recall amazing,33789,1,1
amazing experience,2283,1,1
experience get,14634,1,1
bed walk,4444,1,1
walk bathroom,44986,1,1
bathroom shower,4240,1,1
shower whistle,36979,1,1
whistle stop,45840,1,1
think hey,41959,1,1
hey whats,19529,1,1
whats go,45774,1,1
go realize,17947,1,1
realize felt,33644,1,1
great like,18329,1,1
like heavy,23741,1,1
shoulder felt,36939,1,1
felt hell,15756,1,1
hell long,19213,1,1
forget fantastic,16719,1,1
fantastic feeling,15221,1,1
feeling truly,15670,1,1
truly help,43434,1,1
stress business,39658,1,1
business relationship,5764,1,1
relationship recommend,34572,1,1
recommend two,33888,1,1
occasion similar,28904,1,1
similar experience,37131,1,1
anger pretty,2403,1,1
quality reduce,33121,1,1
reduce gi,34080,1,1
gi symptom,17637,1,1
symptom stress,40700,1,1
well anxiety,45534,1,1
get episode,17475,1,1
episode major,13821,1,1
seem somewhat,36339,1,1
somewhat ineffective,38378,1,1
ineffective time,21169,1,1
acetominophin,595,1,1
sp,38533,1,1
didi,10659,1,1
ibuprofen generally,20358,1,1
generally take,17367,1,1
especially take,13950,1,1
take early,40988,1,1
early onset,12422,1,1
onset severe,29316,1,1
pain already,29840,1,1
already establish,1906,1,1
establish prior,13961,1,1
medication pain,25581,1,1
effective sometimes,13048,1,1
sometimes mildly,38340,1,1
mildly time,26266,1,1
time effective,42414,1,1
effective ibuprofen,12994,1,1
ibuprofen dose,20355,1,1
dose medication,11557,1,1
medication best,25472,1,1
best take,4941,1,1
away headache,3769,1,1
work might,46336,1,1
might try,26104,1,1
counter acetominophin,8672,1,1
acetominophin sp,596,1,1
sp product,38534,1,1
product sometimes,32577,1,1
sometimes effective,38326,1,1
effective mild,13012,1,1
headache ibuprofen,18957,1,1
ibuprofen didi,20354,1,1
didi work,10660,1,1
work generally,46301,1,1
generally nothing,17363,1,1
insomnia effectively,21574,1,1
indirectly,21131,1,1
spiral,38671,1,1
downward,11626,1,1
provigil allow,32881,1,1
good wakefulness,18205,1,1
wakefulness daytime,44980,1,1
daytime turn,9712,1,1
turn assist,43581,1,1
assist good,3363,1,1
also indirectly,2023,1,1
indirectly boost,21132,1,1
boost mood,5375,1,1
allow level,1705,1,1
level function,23306,1,1
function chronic,17093,1,1
chronic illness,6731,1,1
illness thing,20461,1,1
thing easily,41862,1,1
easily spiral,12483,1,1
spiral downward,38672,1,1
pain elbow,29913,1,1
elbow reduction,13217,1,1
reduction general,34276,1,1
general muscle,17329,1,1
muscle discomfort,27364,1,1
discomfort rest,11028,1,1
rest body,35187,1,1
body gym,5295,1,1
gym workout,18512,1,1
bp run,5454,1,1
run normal,35782,1,1
normal seizure,28430,1,1
activity cholesterol,894,1,1
cholesterol good,6661,1,1
spice,38643,1,1
rosecea,35700,1,1
spot help,38729,1,1
help remove,19407,1,1
remove red,34968,1,1
spot usually,38746,1,1
usually bad,44462,1,1
bad hot,4064,1,1
shower enjoy,36969,1,1
enjoy use,13663,1,1
use metrogel,44314,1,1
metrogel symptom,25992,1,1
bad seem,4091,1,1
help enjoy,19293,1,1
enjoy coffee,13651,1,1
coffee wine,7162,1,1
wine hot,45917,1,1
hot spice,19909,1,1
spice hot,38644,1,1
shower really,36975,1,1
really limit,33706,1,1
limit sun,23856,1,1
exposure rosecea,14766,1,1
rosecea seem,35701,1,1
also morning,2051,1,1
morning notice,26987,1,1
notice red,28668,1,1
spot seem,38742,1,1
disappear drug,10942,1,1
imitrex zomig,20504,1,1
take migraine,41094,1,1
migraine imitrex,26140,1,1
imitrex speed,20498,1,1
speed heart,38616,1,1
heart scar,19144,1,1
scar zomig,36028,1,1
work maxalt,46332,1,1
maxalt change,25244,1,1
function instead,17108,1,1
instead waste,21647,1,1
waste whole,45124,1,1
day dark,9484,1,1
room tear,35673,1,1
tear pain,41371,1,1
migraine miss,26151,1,1
fracture ankle,16839,1,1
ankle year,2435,1,1
ago year,1421,1,1
develop arthritis,10505,1,1
joint nowhere,22176,1,1
nowhere else,28730,1,1
else painful,13344,1,1
cause swelling,6262,1,1
redness reduced,33994,1,1
reduced movement,34215,1,1
movement try,27142,1,1
try sort,43526,1,1
sort treatment,38511,1,1
treatment aspirin,43133,1,1
ibuprofen number,20362,1,1
number recommended,28780,1,1
recommended natural,33895,1,1
remedy best,34900,1,1
best say,4939,1,1
say make,35953,1,1
thing bad,41845,1,1
prescribe naproxen,31879,1,1
naproxen work,27472,1,1
much think,27304,1,1
think couple,41933,1,1
couple occasion,8712,1,1
occasion cured,28898,1,1
cured within,9085,1,1
day stop,9663,1,1
stop tablet,39569,1,1
tablet twinge,40868,1,1
twinge reappear,43650,1,1
incapacitation,20871,1,1
restore total,35239,1,1
total incapacitation,42893,1,1
incapacitation full,20872,1,1
full function,17054,1,1
lexpro,23419,1,1
inducing,21153,1,1
reduce panic,34141,1,1
attack combination,3486,1,1
combination lexpro,7294,1,1
lexpro particularly,23420,1,1
take panic,41124,1,1
panic inducing,30213,1,1
inducing situation,21154,1,1
situation fly,37337,1,1
redness complexion,33977,1,1
complexion reduction,7643,1,1
reduction overall,34303,1,1
overall inflammation,29698,1,1
inflammation skin,21348,1,1
breakout acne,5532,1,1
surprise,40349,1,1
restaurant,35208,1,1
year every,46962,1,1
spring would,38782,1,1
get troublesome,17609,1,1
troublesome nasal,43416,1,1
symptom tingle,40706,1,1
tingle burning,42611,1,1
burning itch,5748,1,1
itch sneeze,22010,1,1
sneeze etc,38136,1,1
really surprise,33736,1,1
surprise try,40350,1,1
drowsiness dry,11843,1,1
mouth year,27108,1,1
go restaurant,17951,1,1
restaurant movie,35209,1,1
movie sneeze,27147,1,1
sneeze much,38140,1,1
unrelated,44015,1,1
help lower,19350,1,1
relieve water,34820,1,1
retention eliminate,35368,1,1
associate high,3389,1,1
although possibly,2201,1,1
possibly unrelated,31566,1,1
unrelated experience,44016,1,1
density hair,10084,1,1
hair maintain,18573,1,1
maintain hair,24801,1,1
regrowth noticeable,34469,1,1
noticeable others,28702,1,1
conjunction minoxidil,7905,1,1
minoxidil use,26415,1,1
lessening suicidal,23228,1,1
ideation increase,20397,1,1
ability complete,272,1,1
life task,23576,1,1
hive control,19688,1,1
sniffling,38161,1,1
benefit sniffling,4830,1,1
sniffling drip,38162,1,1
drip cough,11777,1,1
cough continue,8518,1,1
continue even,8148,1,1
even medicine,14121,1,1
deprive,10390,1,1
luxury,24728,1,1
hungover,20176,1,1
grateful,18285,1,1
year sleep,47076,1,1
sleep deprive,37640,1,1
deprive due,10391,1,1
due work,12319,1,1
work condition,46244,1,1
condition rarely,7818,1,1
rarely would,33423,1,1
would enjoy,46610,1,1
enjoy luxury,13658,1,1
luxury full,24729,1,1
sleep typically,37768,1,1
typically would,43755,1,1
would hour,46637,1,1
sleep extreme,37662,1,1
extreme difficulty,14833,1,1
difficulty remain,10826,1,1
asleep dream,3298,1,1
dream realistic,11737,1,1
realistic often,33638,1,1
would tired,46728,1,1
tired morning,42671,1,1
morning upon,27008,1,1
upon retire,44062,1,1
retire bed,35407,1,1
lunesta allow,24702,1,1
sleep return,37738,1,1
night example,28122,1,1
example go,14397,1,1
bathroom awake,4236,1,1
awake stumble,3713,1,1
stumble vivid,39834,1,1
dream go,11731,1,1
go experience,17860,1,1
experience groggy,14637,1,1
groggy hungover,18407,1,1
hungover symptom,20177,1,1
symptom sometimes,40696,1,1
sometimes hear,38330,1,1
medication truly,25645,1,1
life grateful,23506,1,1
grateful dr,18286,1,1
dr prescription,11650,1,1
medication enable,25511,1,1
enable think,13450,1,1
clearly thought,7031,1,1
process coherent,32502,1,1
coherent assist,7172,1,1
assist concentrate,3358,1,1
concentrate therefore,7714,1,1
task finally,41315,1,1
finally follow,15952,1,1
follow thru,16594,1,1
thru able,42257,1,1
able manage,369,1,1
manage time,25052,1,1
time well,42589,1,1
incident,20881,1,1
prevent tachycardia,32189,1,1
tachycardia incident,40876,1,1
incident tachycardia,20882,1,1
tachycardia occur,40877,1,1
less dramatic,23056,1,1
ovulation cycle,29768,1,1
cycle regulate,9154,1,1
regulate however,34516,1,1
pregnant continue,31767,1,1
continue month,8162,1,1
lower cholesteral,24626,1,1
cholesteral considerably,6648,1,1
considerably total,7997,1,1
ldl lipitor,22817,1,1
lipitor three,23937,1,1
ldl good,22815,1,1
shape addition,36824,1,1
addition experience,1086,1,1
whatsoever pleased,45782,1,1
pleased drawback,31314,1,1
drawback come,11718,1,1
come generic,7364,1,1
form co,16742,1,1
co pay,7139,1,1
pay per,30579,1,1
panfacort,30202,1,1
reaction normal,33540,1,1
normal antihistamine,28366,1,1
antihistamine would,2604,1,1
stop need,39528,1,1
use panfacort,44341,1,1
panfacort stop,30203,1,1
stop problem,39541,1,1
problem within,32474,1,1
minute residual,26442,1,1
residual effect,35095,1,1
unclogged,43834,1,1
spit,38682,1,1
infection felt,21218,1,1
although unclogged,2221,1,1
unclogged constantly,43835,1,1
constantly spit,8065,1,1
spit mucus,38683,1,1
mucus especially,27329,1,1
especially eat,13929,1,1
anything water,2836,1,1
rhinitis almost,35505,1,1
year long,47010,1,1
bad cold,4037,1,1
cold season,7194,1,1
season try,36127,1,1
medicine either,25698,1,1
either much,13186,1,1
effect �,12941,1,1
� work,47306,1,1
work nasal,46345,1,1
clear congestion,6888,1,1
congestion minute,7890,1,1
night pretty,28167,1,1
pretty pleasant,32122,1,1
pleasant smell,31303,1,1
smell make,38007,1,1
make fall,24916,1,1
acting minute,850,1,1
cool,8400,1,1
loss couple,24416,1,1
notice virtually,28688,1,1
virtually hair,44760,1,1
hair hand,18567,1,1
wash oppose,45112,1,1
oppose hair,29382,1,1
hair pillow,18580,1,1
pillow whereas,31173,1,1
whereas quite,45813,1,1
quite obvious,33275,1,1
obvious fall,28881,1,1
fall visually,15174,1,1
visually loss,44822,1,1
loss know,24438,1,1
know grow,22468,1,1
back long,3924,1,1
long stay,24192,1,1
stay cool,39124,1,1
saving,35890,1,1
cost saving,8503,1,1
saving control,35891,1,1
control versus,8354,1,1
versus combo,44679,1,1
combo levoxyl,7332,1,1
levoxyl cytomel,23382,1,1
cytomel without,9233,1,1
insurance get,21667,1,1
doctor write,11363,1,1
write year,46829,1,1
year worth,47114,1,1
worth rx,46539,1,1
rx order,35803,1,1
order canada,29435,1,1
hardly except,18839,1,1
felt physically,15790,1,1
physically tired,31020,1,1
tired even,42665,1,1
even feel,14096,1,1
feel depressed,15443,1,1
work every,46277,1,1
sore stop,38478,1,1
stop cold,39461,1,1
sore track,38483,1,1
track immediately,42951,1,1
